"Event_ID","Name","Categories","Environment","Location","Start_Date","End_Date","Price_Range","Family_Friendly","Description","Categories_list","Year","Month","Day","City_Key","Avg_Max_Temp","Avg_Min_Temp","Temp_max_Category","Temp_min_Category"
"78","Spinneys Dubai 92 Cycle Challenge","Sports","Outdoor","Dubai Autodrome","2026-02-12","2026-02-12","Low","True","The Spinneys Dubai 92 Cycle Challenge is a long-distance cycling event at Dubai Autodrome that draws amateur and competitive cyclists testing their endurance on a closed circuit.","['Sports']","2026","2","12","Dubai","25.475","18.257142857142856","Normal","Cold"
"79","Abu Dhabi Cycling Tour","Sports","Outdoor","Abu Dhabi Citywide","2026-02-21","2026-02-27","Free","True","The Abu Dhabi Cycling Tour is a professional multi-stage cycling race that winds through the capital and surrounding areas, attracting top international cycling teams.","['Sports']","2026","2","21","Abu Dhabi","25.11428571428572","18.567857142857143","Normal","Cold"
"80","Dubai Tour","Sports","Outdoor","Dubai Citywide","2026-02-02","2026-02-06","Free","True","The Dubai Tour is a professional multi-stage cycling race held across Dubai, drawing elite international cycling teams to compete over several days.","['Sports']","2026","2","2","Dubai","25.475","18.257142857142856","Normal","Cold"
"81","Ironman 70.3 Dubai","Sports","Both","Jumeirah Beach Dubai","2026-02-06","2026-02-06","High","True","Ironman 70.3 Dubai is a half-distance triathlon combining swim, bike, and run legs along Jumeirah Beach, attracting endurance athletes from around the world.","['Sports']","2026","2","6","Dubai","25.475","18.257142857142856","Normal","Cold"
"82","Ironman 70.3 Yas Island","Sports","Both","Yas Island Abu Dhabi","2026-03-06","2026-03-06","High","True","Ironman 70.3 Yas Island is a half-distance triathlon held on Yas Island, drawing competitive and amateur triathletes to a scenic swim-bike-run course.","['Sports']","2026","3","6","Abu Dhabi","29.203225806451613","20.216129032258067","Normal","Normal"
"83","Standard Chartered Dubai Marathon","Sports","Outdoor","Jumeirah Beach Road Dubai","2026-01-23","2026-01-23","Low","True","The Standard Chartered Dubai Marathon is a full marathon along Jumeirah Beach Road, known for its flat, fast course that attracts elite distance runners and recreational participants alike.","['Sports']","2026","1","23","Dubai","23.79032258064516","16.067741935483873","Normal","Cold"
"84","ADNOC Abu Dhabi Marathon","Sports","Outdoor","Abu Dhabi Corniche","2026-12-04","2026-12-04","Low","True","The ADNOC Abu Dhabi Marathon is a full marathon along the Abu Dhabi Corniche, offering runners scenic waterfront views on a course popular with both professional and amateur athletes.","['Sports']","2026","12","4","Abu Dhabi","26.583870967741937","19.39032258064516","Normal","Cold"
"85","Dubai Spartan Race","Sports","Outdoor","Hatta Dubai","2026-11-27","2026-11-28","Medium","True","The Dubai Spartan Race is an obstacle course racing event held in Hatta, challenging participants with rugged terrain and physical obstacles across multiple difficulty levels.","['Sports']","2026","11","27","Dubai","30.973333333333336","20.276666666666664","Warm","Normal"
"86","UAE Tour","Sports","Outdoor","UAE Nationwide","2026-02-21","2026-02-27","Free","True","The UAE Tour is a multi-stage professional cycling race that crosses the country, drawing top international teams and riders competing across a week of varied terrain.","['Sports']","2026","2","21","Dubai","25.475","18.257142857142856","Normal","Cold"
"87","Dubai Polo Gold Cup","Sports","Outdoor","Dubai Polo and Equestrian Club","2026-02-15","2026-03-20","High","False","The Dubai Polo Gold Cup is a prestigious polo tournament held at the Dubai Polo and Equestrian Club, combining competitive matches with an upscale social season.","['Sports']","2026","2","15","Dubai","27.393951612903223","19.02695852534562","Normal","Cold"
"88","Beach Polo Cup Dubai","Sports","Outdoor","Jumeirah Beach Dubai","2026-04-17","2026-04-18","High","False","The Beach Polo Cup Dubai brings the sport of polo to the sand at Jumeirah Beach, offering a unique beachfront twist on the traditional game alongside social events.","['Sports']","2026","4","17","Dubai","35.43","23.23","Warm","Normal"
"89","Sharjah International Triathlon","Sports","Both","Khor Fakkan Sharjah","2026-02-27","2026-02-27","Medium","True","The Sharjah International Triathlon challenges competitors with a swim, bike, and run course set along the coastal town of Khor Fakkan.","['Sports']","2026","2","27","Sharjah","25.392857142857142","18.389285714285712","Normal","Cold"
"90","Ras Al Khaimah Half Marathon","Sports","Outdoor","RAK Corniche","2026-02-13","2026-02-13","Low","True","The Ras Al Khaimah Half Marathon takes runners along the scenic RAK Corniche, offering picturesque coastal views on a course popular with both locals and visiting athletes.","['Sports']","2026","2","13","Dubai","25.475","18.257142857142856","Normal","Cold"
"91","Fujairah International Triathlon","Sports","Both","Fujairah Beach","2026-01-30","2026-01-30","Medium","True","The Fujairah International Triathlon combines swim, bike, and run legs along Fujairah's coastline, drawing triathletes to the East Coast for a scenic endurance challenge.","['Sports']","2026","1","30","Fujairah","24.43548387096774","15.46774193548387","Normal","Cold"
"92","Abu Dhabi World Para Jiu-Jitsu Championship","Sports","Indoor","Mubadala Arena Abu Dhabi","2026-11-10","2026-11-10","Low","True","The Abu Dhabi World Para Jiu-Jitsu Championship showcases para-athletes competing at the Mubadala Arena, highlighting adaptive jiu-jitsu on an international stage.","['Sports']","2026","11","10","Abu Dhabi","30.51","23.08","Warm","Normal"
"93","Abu Dhabi World Masters Jiu-Jitsu Championship","Sports","Indoor","Mubadala Arena Abu Dhabi","2026-11-17","2026-11-18","Low","True","The Abu Dhabi World Masters Jiu-Jitsu Championship brings together competitors in the masters divisions for two days of international-level grappling competition.","['Sports']","2026","11","17","Abu Dhabi","30.51","23.08","Warm","Normal"
"94","Abu Dhabi World Festival Jiu-Jitsu Championship","Sports","Indoor","Mubadala Arena Abu Dhabi","2026-11-14","2026-11-16","Low","True","The Abu Dhabi World Festival Jiu-Jitsu Championship rounds out the year's jiu-jitsu calendar with festival-format competition open to grapplers from across categories.","['Sports']","2026","11","14","Abu Dhabi","30.51","23.08","Warm","Normal"
"95","Dubai International Jewellery Week","Exhibition","Indoor","Dubai World Trade Centre","2026-11-09","2026-11-13","Free","True","Dubai International Jewellery Week showcases luxury jewellery designers and brands from around the world at the Dubai World Trade Centre, featuring exhibitions and industry events.","['Exhibition']","2026","11","9","Dubai","30.973333333333336","20.276666666666664","Warm","Normal"
"96","Beautyworld Middle East","Exhibition","Indoor","Dubai World Trade Centre","2026-10-05","2026-10-07","Medium","False","Beautyworld Middle East is a major beauty and wellness trade show at the Dubai World Trade Centre, bringing together cosmetics, spa, and personal care brands from around the globe.","['Exhibition']","2026","10","5","Dubai","34.91290322580645","25.92258064516129","Warm","Normal"
"97","Automechanika Dubai","Exhibition","Indoor","Dubai World Trade Centre","2026-06-07","2026-06-09","Medium","False","Automechanika Dubai is an automotive aftermarket trade fair showcasing parts, tools, and services for the region's automotive industry at the Dubai World Trade Centre.","['Exhibition']","2026","6","7","Dubai","39.05333333333333","28.086666666666662","Hot","Normal"
"98","The Big 5 Dubai","Exhibition","Indoor","Dubai World Trade Centre","2026-11-23","2026-11-26","Medium","False","The Big 5 Dubai is a major construction industry exhibition bringing together building materials, machinery, and construction technology from exhibitors around the world.","['Exhibition']","2026","11","23","Dubai","30.973333333333336","20.276666666666664","Warm","Normal"
"99","Arabian Travel Market","Exhibition","Indoor","Dubai World Trade Centre","2026-04-26","2026-04-29","Medium","False","The Arabian Travel Market is a leading travel and tourism trade show at the Dubai World Trade Centre, connecting tourism boards, hoteliers, and travel companies from across the globe.","['Exhibition']","2026","4","26","Dubai","35.43","23.23","Warm","Normal"
"100","Gulf Information Technology Exhibition","Exhibition","Indoor","Dubai World Trade Centre","2026-10-11","2026-10-15","Medium","False","The Gulf Information Technology Exhibition (GITEX) spotlights startups, emerging tech, and digital innovation, running alongside the broader GITEX Technology Week at the Dubai World Trade Centre.","['Exhibition']","2026","10","11","Dubai","34.91290322580645","25.92258064516129","Warm","Normal"
